version,time_in_ns,products_log10,release_date
v2.5.45,1501938865,407.78706127280436729545265014817194494950756261837,2002-10-30
v2.5.46,2021540364,410.20967931215368733562963761917313484867933577665463,2002-11-04
v2.5.47,2400273546,414.78622143148102938071671299960806845641878399034408,2002-11-11
v2.5.48,1287450521,415.51395500053277912781471959560921835325620912319,2002-11-18
v2.5.49,1624605192,416.11005971498674602384051208924238084585280241442,2002-11-22
v2.5.50,1438977492,414.90678682044437111233191559253618123509878625686,2002-11-27
v2.5.51,1383777751,412.92267685248224752539408061572242810360128198153,2002-12-10
v2.5.52,1386849420,413.14425820544673668411284816830585648068988338032,2002-12-16
v2.5.53,1585053144,415.07739861478878933449380632436461411340865576883,2002-12-24
v2.5.54,2276276612,416.17275662063263010746009489873828274936758908252759,2003-01-02
v2.5.55,1854644646,417.47376921477392539079840903307369779139233523832419,2003-01-09
v2.5.56,1654036792,418.97880699039976078565933966906518129586735004178,2003-01-10
v2.5.57,1966147231,419.12723864185784646361116397770670497206696456839307,2003-01-13
v2.5.58,3233893815,421.25915091934428920418536125518327679606208205132048,2003-01-14
v2.5.59,2289597543,421.07618571701620785200990175804092118871898206746215,2003-01-17
v2.5.60,1554306261,421.93351793831578642712223484205852968807521863906,2003-02-10
v2.5.61,1840330545,423.1641629769538107822803092231569828649757306808,2003-02-15
v2.5.62,2267400738,423.77624168374762941723063587930174025109936171670386,2003-02-17
v2.5.63,4516123518,422.46938516081104812455180191740343834866712407090596,2003-02-24
v2.5.64,2409388034,425.59017183383795850350361718975679868747415132755572,2003-03-05
v2.5.65,2166862064,426.90621368384669406616840924740175874128200385225715,2003-03-17
v2.5.66,4023416082,428.58228268058726749339894588760649774310266244222096,2003-03-24
v2.5.67,3015156959,430.43053245454914080452934309884563307476145994295071,2003-04-07
v2.5.68,3328154719,432.10973023725352694803687236619720028916931933106335,2003-04-20
v2.5.69,2797040383,435.72328382836307682841309505945353984902816383478146,2003-05-04
v2.5.70,2771001893,440.09553458153637136792159740616412696860422782489999,2003-05-27
v2.5.71,3180014175,443.83308510597791659308350874808172393473637662097161,2003-06-14
v2.5.72,3310280957,444.62661025733144053215113346165041510680831312011541,2003-06-17
v2.5.73,2718745961,445.88742432213282412108559504618439980347205094156512,2003-06-22
v2.5.74,4759676983,447.56826262481539201253623273751235921922097272046539,2003-07-02
v2.5.75,3176894212,447.56463541999869501433337259500353845626488356648574,2003-07-10
v2.6.0,6910410931,469.38488216992611827372880329744076175597946074745949,2003-12-18
v2.6.1,16231582137,471.69370575115676671929196971402832644493173565413653,2004-01-09
v2.6.10,130221464770,535.72616455554130245235076716202659779634247588229691,2004-12-24
v2.6.11,182465053274,544.49249344411069612745098057337918709342823752914141,2005-03-02
v2.6.11.1,479604113943,544.49249344411069612745098057337918709342823752914141,2005-03-08
v2.6.11.10,618644473484,544.49249344411069612745098057337918709342823752914141,2005-05-16
v2.6.11.11,108181646511,544.49249344411069612745098057337918709342823752914141,2005-05-27
v2.6.11.12,917775009538,544.49249344411069612745098057337918709342823752914141,2005-06-12
v2.6.11.2,68038113572,544.49249344411069612745098057337918709342823752914141,2005-03-09
v2.6.11.3,522712405384,544.49249344411069612745098057337918709342823752914141,2005-03-13
v2.6.11.4,142551722852,544.49249344411069612745098057337918709342823752914141,2005-03-15
v2.6.11.5,450031166456,544.49249344411069612745098057337918709342823752914141,2005-03-19
v2.6.11.6,336811656991,544.49249344411069612745098057337918709342823752914141,2005-03-26
v2.6.11.7,69782451749,544.49249344411069612745098057337918709342823752914141,2005-04-07
v2.6.11.8,504858919745,544.49249344411069612745098057337918709342823752914141,2005-04-29
v2.6.11.9,1090394298266,544.49249344411069612745098057337918709342823752914141,2005-05-11
v2.6.15,580649456776,597.81652918123670148430564523126895345855878755894743,2006-01-03
v2.6.2,15545579013,479.69287414746838391031709618395192295400241043781705,2004-02-04
v2.6.22,1664656373704,725.10927612340122628074167140562288511617518429193054,2007-07-08
v2.6.3,33457229926,482.60072179108687302638125817132827371254970000249468,2004-02-18
