version,release_date,sloc
v2.6.12,2005-06-18,4361591
v2.6.13,2005-08-28,4501041
v2.6.14,2005-10-27,4613469
v2.6.15,2006-01-02,4700949
v2.6.16,2006-03-20,4821901
v2.6.17,2006-06-17,4892623
v2.6.18,2006-09-20,4975343
v2.6.19,2006-11-29,5118528
v2.6.20,2007-02-04,5202598
v2.6.21,2007-04-25,5292145
v2.6.22,2007-07-08,5452695
v2.6.23,2007-10-09,5504952
v2.6.24,2008-01-24,5690509
v2.6.25,2008-04-16,5921192
v2.6.26,2008-07-13,6023853
v2.6.27,2008-10-09,6138132
v2.6.28,2008-12-24,6455279
v2.6.29,2009-03-23,6967870
v2.6.30,2009-06-09,7324606
v2.6.31,2009-09-09,7583400
v2.6.32,2009-12-02,7947003
v2.6.33,2010-02-24,8179267
v2.6.34,2010-05-16,8396049
v2.6.35,2010-08-01,8684683
v2.6.36,2010-10-20,8880445
v2.6.37,2011-01-04,9235246
v2.6.38,2011-03-14,9447314
v2.6.39,2011-05-18,9673924
v3.0,2011-07-21,9734588
v3.1,2011-10-24,9834020
v3.2,2012-01-04,9995379
v3.3,2012-03-18,10111486
v3.4,2012-05-20,10258076
v3.5,2012-07-21,10407622
v3.6,2012-09-30,10583981
v3.7,2012-10-10,10812542
v3.8,2013-02-18,10961278
v3.9,2013-04-28,11135760
v3.10,2013-06-30,11317011
v3.11,2013-09-02,11625761
v3.12,2013-11-03,11851953
v3.13,2014-01-19,11982828
v3.14,2014-03-30,12212928
v3.15,2014-06-08,12447238
v3.16,2014-08-03,12599616
v3.17,2014-10-05,12586763
v3.18,2014-12-07,12658243
v3.19,2015-02-08,12736139
v4.0,2015-04-12,12852861
v4.1,2015-06-22,12972593
v4.2,2015-08-30,13603008
v4.3,2015-11-01,13804320
v4.4,2016-01-10,13971495
v4.5,2016-03-13,14149628
v4.6,2016-05-15,14329382
v4.7,2016-07-24,14533253
v4.8,2016-09-25,14725642
v4.9,2016-12-11,14914977
v4.10,2017-02-19,15302929
v4.11,2017-04-30,15508333
v4.12,2017-07-02,16264055
v4.13,2017-09-03,16730435
v4.14,2017-11-12,16985368
v4.15,2018-01-28,17202022
v4.16,2018-04-01,17319708
v4.17,2018-06-03,17245079
v4.18,2018-08-12,17205149
v4.19,2018-10-22,17414279
v4.20,2018-12-23,17689332
v5.0,2019-03-03,17847774
v5.1,2019-05-05,18019582
v5.2,2019-07-07,18190939
v5.3,2019-09-15,18721108
v5.4,2019-11-24,19042169
v5.5,2020-01-26,19257621
v5.6,2020-03-29,19496723
v5.7,2020-05-31,19710319
v5.8,2020-08-02,20128016
v5.9,2020-10-11,20492875
v5.10,2020-12-13,20681306
v5.11,2021-02-14,21166476
v5.12,2021-04-25,21308711
v5.13,2021-06-27,21603976
v5.14,2021-08-29,22041388
v5.15,2021-10-31,22277661
v5.16,2022-01-09,22584137
v5.17,2022-03-20,22746337
v5.18,2022-05-22,23339106
v5.19,2022-07-31,23970553
